id_port,name,freq,w_dist,L_deg,P_deg,A_deg,L_unw_dist,P_unw_dist,A_unw_dist,travel_time_c0,travel_time_c2,nb_reach_c0,nb_reach_c2
2594,Philadelphia,1.1917,5.4925,19,125,170,2.8078,1.9519,1.8101,13.3655,23.5571,434.8519,392.1605
2760,Pulau Batam,0.3833,5.9112,6,7,11,3.4485,3.0892,2.7918,12.1436,24.2123,436.2099,394.5926
3837,Catania,0.3333,6.2081,9,17,34,3.1922,2.5446,2.405,15.5696,27.8491,431.6914,373.2716
1816,Nelson(NZL),0.7583,7.8365,11,41,51,3.3387,2.1945,2.1487,20.9337,31.223,411.0988,339.2469
369,Montreal,1.925,5.6984,19,35,86,2.6773,2.27,2.119,18.0577,26.1584,428.2716,383
5899,Kotka,2.5167,6.9281,25,38,94,2.8032,2.3432,2.0435,14.1294,23.5281,434.7654,408.2716
5677,Varna,1.125,6.3972,12,35,85,3.2449,2.6156,2.1899,14.5158,25.2068,432.6914,393.8519
3110,Adelaide,1.2667,8.1537,11,135,161,2.7574,1.9108,1.8124,16.8556,26.604,430.6667,386.7778
1952,Aden,2.75,5.0281,28,60,131,2.6911,2.2014,2.0297,12.272,21.5308,436.3951,415.8395
3099,Niigata,2.75,5.7714,19,34,55,3.1213,2.2998,2.2403,11.0425,22.7064,436.5556,399.5309
4188,Port au Prince,1.5917,5.4943,20,40,70,2.8924,2.524,2.1968,13.2288,23.9048,436.7654,413.5062
854,Baltimore,2.0583,5.3002,17,141,196,2.6613,1.9474,1.7918,12.1538,22.2665,436.1728,410.0988
4837,Gioia Tauro,9.7667,5.2634,120,256,326,2.2128,1.7323,1.643,11.4691,19.5254,434.8642,414.5679
1140,Montoir,1.0417,4.9778,15,70,89,2.8604,2.1053,2.0183,13.2877,22.637,435.1235,405.963
8857,Caucedo,5.2,4.7278,57,194,247,2.4577,1.7918,1.7506,10.8454,19.7276,436.8765,426.9877
1532,Thessaloniki,2.325,6.1755,37,92,149,2.9268,2.1304,2.0092,13.6682,23.2457,433.0617,404.4321
4625,Nouakchott,0.425,5.1248,15,39,71,2.8673,2.2494,2.0915,18.2213,28.1356,419.0741,381.7037
2771,Lattakia,3.65,5.1776,39,114,174,2.9703,2.0206,1.9497,13.148,23.1254,434.1975,404.8889
2828,Karachi,5.2833,4.9802,46,133,204,2.5263,1.9062,1.8032,11.2482,20.7195,435.4938,413.5802
943,Helsingborg,2.2333,5.7217,26,42,87,2.7963,2.3455,2.2288,12.8299,22.0737,435.3333,413.321
143,Helsinki,3.9917,6.3202,35,44,100,2.7872,2.3204,2.0618,13.8672,22.8876,434.6173,407.2716
3010,Agadir,0.9917,5.334,18,41,81,2.7414,2.2563,2.0892,12.3416,21.7434,435.1358,409.2346
5015,Bandar Abbas,2.9917,4.7065,36,114,182,2.5286,1.897,1.8009,10.2787,20.3804,436.8025,419.9753
4352,Montevideo,4.0417,5.499,23,177,250,2.8444,1.7986,1.7025,13.9415,25.036,434.358,410.4691
1782,Cebu,1.2667,5.5934,13,17,34,2.7002,2.3272,2.2334,11.6686,22.3801,436.642,405.0123
311,Vancouver(CAN),3.2583,5.5126,22,99,173,3.0137,1.9794,1.8902,10.5737,21.475,436.5802,407.6296
1340,Launceston,0.9,6.233,7,14,18,3.4737,2.4005,2.3432,17.9832,28.5769,425.7654,374.4568
3130,Iquique,1.675,5.4445,23,102,122,3.0046,1.9405,1.8741,13.5752,25.4798,436.3704,394.7778
2833,Valparaiso,2.0667,5.7534,24,132,175,2.6979,1.8833,1.8215,13.1012,24.38,436.6914,397.3333
2369,Papeete,0.3833,10.5196,13,38,59,3.2838,2.5034,2.0458,23.6702,37.7441,409.0741,315.0988
6196,Daesan,0.6333,5.3445,7,9,15,2.7986,2.3638,2.3043,10.6996,23.244,436.4815,396.5556
6514,Thamesport,2.1833,5.2955,20,104,140,2.508,1.9336,1.8627,12.393,20.9211,435.5185,414.4938
207,Puerto Quetzal,2.9,5.0472,24,97,128,3.0114,2.0526,1.9359,13.0584,23.0428,436.6296,403.3951
484,Valletta,0.4917,5.517,15,29,57,3.0275,2.5423,2.3593,17.35,29.2412,432.9877,394.4198
1413,Iraklion,0.4917,7.0484,12,18,39,2.8787,2.4966,2.3432,17.376,28.4547,428,368.2222
5581,Sao Francisco do Sul,2.6,4.9941,21,138,221,2.9588,1.8947,1.7346,13.4991,24.0481,434.9877,413.7284
1697,Bremerhaven,18.65,4.7068,101,347,392,2.1053,1.627,1.5584,11.1254,19.0033,436.0617,421.4691
5625,Mantyluoto,0.3917,6.9784,12,27,52,3.0435,2.3387,2.2494,16.0256,28.0158,433.321,388.0864
3610,Santos,13.8583,4.0193,72,256,312,2.1899,1.7094,1.6156,12.5068,20.971,435.9259,423.4198
2605,Bangkok,10.2083,5.8217,25,67,107,2.6133,2.2128,2.1167,8.7327,18.9085,437,419.6667
4404,Gunsan,0.9333,5.5179,13,28,46,2.6384,2.222,2.1785,9.8666,22.0992,436.7901,405.5679
2220,Maracaibo,0.475,4.8515,15,27,47,2.9954,2.5469,2.3867,17.303,30.8056,433.8889,385.9383
3766,Brest,0.8167,5.3186,10,11,12,2.8238,2.3913,2.341,13.3588,22.8833,435.3827,408.2222
2842,Yokohama,27.9667,4.4619,95,283,366,2.4554,1.6934,1.5904,8.4476,18.6838,437,416.5926
1872,Yokkaichi,4.0583,5.2483,27,62,115,2.8009,2.2174,2.119,9.2512,21.0226,436.9506,405.3827
3458,Valencia,16,4.612,139,340,417,2.0526,1.627,1.5332,10.6442,18.0499,435.3704,420.4074
1847,El Dekheila,1.8833,5.783,33,138,205,2.8581,1.9611,1.8101,13.9932,23.6833,433.4074,396.679
4787,Banjarmasin,0.4917,5.9157,5,11,12,3.4508,3.0892,2.8032,11.508,26.0024,436.0864,398.9259
4747,Dakar,2.2167,5.5793,40,100,157,2.7071,2.1007,1.833,13.6775,22.2052,435.9877,418.2099
4244,Brevik,0.45,5.9857,12,18,51,3.0046,2.4371,2.3204,19.4557,30.0163,435.2222,369.3457
1286,El Guamache,0.525,5.0623,17,31,55,3.0046,2.5126,2.3661,14.7926,27.1083,436.3086,389.1852
1734,Pantoloan,0.3333,7.5419,6,7,15,3.5995,3.087,2.7803,15.0489,28.3937,436,383.1728
238,Portland(OR USA),0.45,5.7632,6,44,70,3.3616,2.1144,2.0069,13.3412,27.8506,435.9383,357.6049
4851,Ceuta,0.3417,5.106,20,43,76,2.913,2.4142,2.2632,16.2647,31.5125,428.9506,385.2469
4529,Moerdijk,0.3417,5.443,10,39,50,3.032,2.3204,2.2174,14.4608,27.1408,433.0988,358.8519
5345,Akita,0.6333,6.22,7,9,21,3.1716,2.4554,2.27,12.1983,23.9024,431.6543,370.1481
4564,Lautoka,0.5583,7.1008,12,50,63,2.8833,2.0183,1.9703,23.1404,34.8377,385.284,325.7654
5196,Manila,5.3333,4.6047,41,84,143,2.476,2.1762,2.0526,8.9314,18.8851,436.8765,419.2469
5450,Panjang,1.6083,5.9024,12,16,38,2.778,2.373,2.2586,10.2608,20.666,436.8025,416.0123
3983,Dalian,7.75,4.918,51,132,224,2.8055,1.9474,1.7712,8.3613,19.2418,437,416.4938
4279,Stockholm,0.4083,7.0495,7,7,47,3.0435,2.4989,2.2998,16.9762,27.9519,428.5309,351.2593
4752,Ravenna,2.0333,6.2497,26,50,63,3.087,2.389,2.2632,13.6029,24.3352,433.2469,391.8519
2815,Gwangyang,14.9583,4.5668,55,183,284,2.4851,1.865,1.6934,8.3565,18.3929,437,419.716
5676,Rauma,1.3083,7.04,24,36,73,2.7963,2.3455,2.119,14.5329,24.0991,434.0864,400.1728
4067,Brisbane,3.7,5.2768,27,96,115,2.5355,1.9588,1.8764,15.2218,24.1841,430.6543,385.7531
2821,Bristol,0.6917,5.4172,14,26,76,2.7597,2.2769,2.0664,14.3601,25.1926,434.716,402.8272
1747,Khor Fakkan,5.8167,4.4647,54,155,183,2.4371,1.8741,1.8169,10.4048,19.888,436.2099,417.8519
2101,Barcelona,12.9,4.7113,99,298,406,2.1373,1.6957,1.5629,10.829,18.9335,435.4198,419.2469
5724,Mobile,1.0083,5.5599,12,55,107,2.7597,2.0526,1.8902,14.3064,25.8449,434.0988,394.5679
426,Damietta,1.8833,4.2555,51,153,182,2.4416,1.8741,1.833,11.8989,20.9044,436.7407,416.6173
3767,Dammam,1.5417,4.784,27,73,137,2.7025,1.9817,1.8787,13.1246,23.5905,432.6667,380.3457
1392,Santa Marta,0.4167,5.8916,9,25,41,2.9497,2.2746,2.2059,13.8032,25.4034,434.9753,406.0741
1165,Singapore,79.0167,4.8558,222,469,518,1.8535,1.4485,1.389,8.0339,15.6813,437,428.2469
4611,Sines,1.7667,4.993,36,113,174,2.3478,1.8879,1.8124,11.6714,20.7794,436.4444,415.5185
2200,Tema,2.5917,5.0546,26,144,197,2.8513,1.8238,1.7574,13.679,22.7241,436.037,414.2716
6512,Yantian,20.4167,4.039,75,319,370,2.1739,1.6362,1.5858,8.3513,16.3733,437,424.1358
3974,Yantai,3.4833,5.334,31,71,97,2.6796,2.0206,1.913,8.8252,20.2984,436.9506,407.0988
306,Huangpu,0.4,5.5605,7,22,45,2.9268,2.3272,2.2449,10.8685,24.6021,436.9012,394.9506
5629,Maputo,0.9333,7.0408,14,62,83,2.6476,2.0618,2.016,18.9353,29.1297,424.8025,377.9753
2831,Fort de France,1.0417,4.6928,25,80,102,2.6751,2.0801,1.9611,14.003,24.5983,436.716,421.2469
5363,Klaipeda,3.25,6.3078,34,55,136,2.7895,2.2677,2.0229,14.0662,23.3015,433.8395,401.1728
3315,Yangon,0.8917,7.4843,15,17,35,2.6384,2.3318,2.2288,12.6732,23.9905,436.0741,407.9012
639,Barranquilla,2.0167,4.9528,19,41,77,2.9314,2.5309,2.1327,11.2697,21.2703,436.8889,416.6049
686,Limassol,4.7583,5.8131,50,159,230,2.4211,1.8696,1.7643,12.7629,22.4009,433.9753,404.9383
1988,Oslo,1.6917,5.9302,21,25,74,2.8032,2.3593,2.1876,14.089,23.6787,434.5802,403.4568
6323,Ishikariwan Shinko,0.325,6.3988,5,7,21,3.1693,2.4554,2.2815,13.6391,28.9496,432.0247,380.5309
5908,Teluk Bayur,0.4083,5.7439,4,5,8,3.4645,3.087,2.7666,13.9159,28.1121,436.5062,377.9136
1593,Dar es Salaam,1.0917,10.147,20,50,82,2.7025,2.2128,2.1281,18.0166,27.3973,430.5309,384.284
2088,Oita,0.9333,5.3024,12,18,37,2.8993,2.357,2.2883,10.9265,22.9579,436.8272,400.2099
1708,Moss,0.6583,6.4699,12,30,56,3.2494,2.3249,2.2128,15.7736,25.2683,429.5309,362.5926
2207,Fortaleza,0.5,7.8512,10,47,53,3.103,2.2975,2.222,18.9358,29.4787,431.7037,382.5679
4844,Marin,0.575,5.6653,11,42,61,2.8192,2.2609,2.1419,13.983,25.2478,436.2716,406.1852
3595,Alexandria(EGY),3.6583,5.5597,58,135,204,2.7277,1.9588,1.8352,13.0529,22.1198,433.9506,407.2716
8092,Santa Cruz de Tenerife,2.9583,5.4819,32,63,106,2.7231,2.2288,2.0984,12.1647,22.0824,435.7407,412.1358
2417,Hachinohe,0.6083,5.3961,6,18,38,3.135,2.3181,2.2586,12.6233,24.4221,432.2222,387.7531
4624,Puerto Limon,3.6,5.2013,34,79,119,2.6087,2.0229,1.8879,11.1864,21.1234,436.963,415.7284
889,Fos,4.8333,4.6507,45,203,280,2.3844,1.8535,1.7162,11.3001,20.0828,435.2099,415.8272
941,Algeciras,8.4583,4.4967,127,250,313,2.0755,1.7551,1.659,10.8205,18.7388,435.7284,420.4568
3521,La Spezia,4.9583,5.1723,54,223,293,2.5355,1.7757,1.6728,11.3967,20.1795,434.7037,412.9753
732,Algiers,2.45,5.1306,42,74,116,2.7414,2.1716,2.0023,11.9983,21.6325,433.2716,404.7901
1503,Charleston,7.0583,4.4444,53,212,259,2.2311,1.8032,1.73,10.8085,19.4361,436.7901,421.1481
5774,Pontianak,0.7,6.8603,7,12,30,2.8307,2.4256,2.254,12.2553,24.2975,436.5802,389.2963
4542,Jubail,0.4333,5.5791,10,13,24,3.1281,2.3936,2.2449,14.678,28.261,434.0741,370.7407
819,Alicante,2.2417,5.3877,23,45,91,2.9016,2.4416,2.254,12.2397,21.3256,434.2716,405.9012
5152,Davao,2.1167,5.8686,18,51,76,2.5721,2.2471,2.167,10.9911,21.0716,436.5062,407.7778
2940,Manaus,1.05,9.4933,17,40,78,3.1213,2.5629,2.3661,19.5311,29.7677,423.5802,382.4568
1831,Tees,2.9333,5.0298,29,63,92,2.6613,2.2677,2.1236,12.0027,21.2554,435.3827,415.1235
4403,Sihanoukville,1.9917,5.4601,15,18,39,2.7346,2.3776,2.2449,10.6941,21.1127,436.8148,410.8025
5290,Mina Saqr,1.325,5.1955,25,58,67,2.7689,2.1693,2.0137,12.0321,23.7237,434.4321,399.3704
837,Nakanoseki,1,5.2996,22,31,45,2.881,2.3432,2.2586,10.6553,23.1384,436.7531,408.5556
5608,Monrovia,0.4667,6.3906,11,17,41,2.9977,2.5469,2.3501,17.818,28.8161,427.5802,366.7654
5493,Osaka,18.8583,5.0956,52,171,219,2.524,1.8307,1.7368,8.4193,19.0831,437,414.5432
2151,Kobe,22.425,4.8346,64,212,295,2.4989,1.7597,1.6499,8.4509,18.8059,437,416.7407
3725,Xiamen,10.4917,4.3615,59,253,334,2.4874,1.762,1.6316,8.3343,17.2515,437,423.1235
5891,Haifa,5.025,5.0993,52,126,168,2.5721,1.913,1.8421,12.1393,21.1782,434.1235,412.0494
1276,St. Vincent(WI),0.5333,5.2518,12,30,46,3.0732,2.4897,2.4302,17.0371,27.9938,429.5185,397.4444
3560,Haikou,0.3583,5.4425,4,6,22,2.8993,2.405,2.2815,10.7638,24.0295,436.8642,405.7407
2204,Lazaro Cardenas,1.2167,4.596,29,100,160,2.6407,2.0847,1.8375,11.7623,21.5623,436.6173,417.5679
7606,Tauranga,2.7917,7.0951,35,123,139,2.4691,1.8879,1.8215,17.1302,26.3352,422.3951,387.2469
4761,Kochi(IND),1.9083,6.3769,17,59,76,2.6293,2.1625,2.0618,11.8028,22.4011,435.9877,407.8519
3077,Buenaventura,3.7917,5.8933,29,148,195,3.0366,1.8558,1.8032,12.506,22.813,436.321,410.8025
2729,Buenos Aires,5.5083,6.2653,22,179,261,3.0915,1.8238,1.7048,13.5633,24.8454,434.0123,413.4938
283,Puerto del Rosario,0.5,5.8863,13,20,24,2.9268,2.5011,2.4256,16.7496,28.0284,428,357.5679
3867,Haiphong,10.125,5.2232,35,55,128,2.5103,2.2357,2.1304,8.7772,18.7485,436.9506,419.9877
9581,Navegantes,3.5417,4.6736,27,137,208,3.0252,1.897,1.7689,12.8421,23.0185,436.5679,424.321
4410,Hakata,8.3417,5.03,40,87,147,2.6773,2.2494,1.8993,8.4268,19.1514,437,415.5926
1698,Umm Qasr,1.1417,10.4145,10,11,41,2.8719,2.508,2.2723,15.7638,26.5594,430.5556,388.9136
1219,Altamira,3.4,4.657,32,157,211,2.8032,1.8902,1.7918,12.9417,22.8912,434.7654,409.642
2999,Chennai,2.4333,7.1722,15,72,133,2.7712,2.0114,1.881,11.9571,21.8412,436.5926,409.3704
4070,Odessa,1.3417,6.4085,23,82,151,2.6316,2.032,1.8833,15.7988,25.226,432.1481,398.1852
5643,Fraser River Port,0.75,6.7183,13,50,88,2.8421,2.1739,1.9977,13.2923,25.6604,431.321,379.358
5865,Goole,0.7,5.5235,4,4,5,3.0984,2.4828,2.3844,18.6181,24.6845,302.7407,284.6543
4488,Kodiak,0.5417,10.2319,3,4,4,3.8169,3.0183,2.9314,15.7152,30.2154,425.037,349.8395
828,Tartous,0.8333,5.9099,23,54,100,3.2494,2.2632,2.1785,15.6085,27.1134,431.1975,380.9506
4588,Degrad des Cannes,0.375,5.6559,4,22,26,3.611,2.3638,2.3021,21.7482,32.4633,419.284,349.3333
1080,Tarragona,2.7833,5.3999,36,132,175,2.7735,1.9108,1.8261,11.3498,20.4739,435.284,413.4074
9826,Shuwaikh,2.3583,5.3138,19,22,49,2.9954,2.5263,2.2197,11.5947,22.9095,436.7778,412.2716
5393,St. Petersburg,6.3917,6.9253,41,50,111,2.7277,2.3341,2.0915,13.5928,22.5849,434.716,409.3333
3125,Fredericia,0.5167,5.9283,13,20,55,2.849,2.3661,2.2906,15.4104,26.0178,434.321,401.9012
5757,Penang,5.225,4.6958,31,70,143,2.5812,2.2334,2.0481,8.5321,18.3235,436.9506,422.7654
5146,Ulsan,8.0833,5.0481,43,79,117,2.7002,2.2609,2.135,8.552,19.1793,437,415.9383
1600,Melbourne,5.7583,7.1629,32,205,222,2.7162,1.778,1.7368,16.5425,25.7205,428.7531,388.9383
4984,Shuaiba,0.7833,6.2158,9,15,46,3.1968,2.6888,2.2311,13.6728,25.1088,436.5432,399.7901
394,Ensenada(MEX),1.1583,5.3318,13,68,111,3.3043,2.1533,1.9908,13.7505,25.9954,435.7284,378.2469
903,Port Sultan Qaboos,1.375,5.3819,23,50,66,2.6201,2.1602,2.0664,12.204,23.2395,434.9136,400.4568
3012,Ambarli,7.0083,5.8841,72,209,263,2.4279,1.7941,1.7208,12.6282,21.4547,435.0988,415.0494
3724,Taranto,2.1167,5.4517,43,89,113,2.5423,1.9931,1.8947,13.0748,21.7755,434.1852,411.8519
5708,Chiba,0.8917,5.3807,11,33,57,3.1419,2.3089,2.2174,9.8338,22.8823,436.7778,397.9877
5133,Haldia,1.8417,5.8377,15,27,56,2.7666,2.3478,2.2243,12.0213,22.6368,433.6296,401.7654
5268,Rouen,0.9333,5.4443,12,47,75,2.9497,2.3844,2.1487,12.1836,22.2812,434.7037,406.9136
3241,Puerto Cortes,3.175,5.8625,34,67,122,2.611,2.1648,2.0526,12.2462,22.0292,435.8642,410.9012
5022,Port Sudan,2.2667,6.2092,20,44,108,2.7071,2.238,2.0481,13.7869,22.937,435.9259,407.4815
856,Freeport(BHS),4.8167,4.8636,68,203,236,2.2471,1.778,1.7391,11.6869,20.4373,436.4938,420.9259
830,Rotterdam,34.8917,4.5281,156,444,520,2.103,1.4874,1.3959,10.6499,18.3554,436.2716,424.8148
1828,Le Havre,12.425,4.4535,99,325,404,2.1693,1.659,1.5423,10.8577,18.2956,435.9877,420.4198
1323,St. Martin,0.65,4.8092,12,61,80,3.1831,2.3661,2.167,15.216,27.0902,435.7284,416.4444
3324,Freetown,0.4167,7.6446,5,16,33,3.1419,2.5698,2.4416,21.0508,33.6098,423.0864,338.8395
966,Halifax,2.0167,4.969,20,101,117,2.4851,1.9291,1.8833,12.3401,21.713,435.358,409.0741
219,Fremantle,2.7583,9.113,18,134,160,2.7574,1.8787,1.8169,13.1706,22.1448,434.9259,406.321
1483,Mizushima,3.35,5.3603,23,35,67,2.8741,2.3387,2.2151,9.2958,20.844,436.9383,409.6173
6133,Naha,0.675,5.613,10,21,29,3.4302,2.6934,2.27,12.1608,25.519,436.4444,389.2963
5767,San Vicente,1.5833,4.8334,22,115,151,2.6453,1.8673,1.8238,14.1027,24.8786,433.9012,394.9136
2491,Pointe Noire(COG),0.5833,5.1617,27,80,98,2.762,1.9794,1.9268,20.8858,30.2048,435.7531,394.1358
3871,Wilmington(NC USA),0.975,5.2328,12,35,59,2.6041,2.1053,1.9794,14.243,25.0048,434.4568,404.1235
4453,Itajai,1.3583,4.9387,19,108,141,3.0275,1.9245,1.8375,14.0764,24.7046,434.2469,406.8148
205,Gothenburg,0.8167,5.5415,29,62,107,2.7963,2.0092,1.881,20.6506,39.0818,433.9753,302.1481
8048,Tanjung Pelepas,10.9083,3.8663,104,286,319,2.0961,1.6842,1.643,7.9873,15.514,437.0247,429.7531
2145,Tyne,0.825,5.2875,10,11,15,2.8902,2.4462,2.3318,13.3697,24.267,435.0123,405.6667
151,Chittagong,4.7583,6.9245,16,28,73,2.7643,2.3066,2.1831,9.5251,19.0207,436.7037,416.679
843,Amsterdam,0.7583,5.2604,23,80,122,2.6773,1.913,1.8467,14.5131,25.9045,434.642,392.716
4337,Chiwan,4.7333,4.7004,40,232,317,2.476,1.7323,1.6522,8.371,17.7134,437,420.9753
3832,Nagoya,22.7417,4.6371,52,244,309,2.6545,1.7277,1.6339,8.5111,19.4149,437,414.1358
2302,Longkou,0.7333,5.1512,13,21,48,2.9817,2.3707,2.2586,10.4419,26.2284,436.1358,396.1481
5233,Puerto Cabello,4.5833,4.141,66,179,227,2.3318,1.8009,1.7277,10.6389,20.1475,436.9383,423.2716
2121,Shimonoseki,0.7167,5.3632,10,11,14,3.1602,2.4394,2.3661,10.0754,22.5962,436.8519,400.6296
5295,Busan,56.7083,4.3869,178,448,500,2.1785,1.4668,1.4073,8.3436,18.1771,437,419.0247
5123,Beira,0.4667,7.7239,9,20,29,2.9199,2.2632,2.1693,21.8143,33.3676,409.5062,346.716
2688,Beirut,4.9833,5.0189,47,191,267,2.6224,1.8169,1.7208,12.5343,21.5722,434.6667,409.2222
5224,Bejaia,0.875,5.3518,26,43,90,2.7918,2.3432,2.1373,14.8701,25.6362,431.9506,393.1358
7596,Norfolk(USA),4.0167,4.1284,24,144,175,2.373,1.8696,1.833,10.6167,18.9113,436.4198,415.7407
593,Shimizu,6.6583,5.1447,27,121,173,2.5629,1.9062,1.8261,8.6897,20.0358,436.9506,410.642
2213,Anchorage,0.4833,11.2145,3,4,4,3.8146,3.0183,2.9314,16.3532,31.6743,422.3704,344.2222
7762,Longoni,0.6083,7.8057,13,30,53,2.8856,2.4943,2.2197,20.5404,31.7493,426,369.8272
