id_port,name,freq,SpaceP_deg,SpaceP_close_unw,SpaceP_close_dur,travel_time_c0,travel_time_c2,nb_reachable_c0,nb_reachable_c2
1872,Yokkaichi,4.0583,115,2.119,18.766,9.2512,21.0226,436.9506,405.3827
3458,Valencia,16.0,417,1.5332,14.1415,10.6442,18.0499,435.3704,420.4074
1847,El Dekheila,1.8833,205,1.8101,16.4646,13.9932,23.6833,433.4074,396.679
4787,Banjarmasin,0.4917,12,2.8032,19.6844,11.508,26.0024,436.0864,398.9259
4747,Dakar,2.2167,157,1.833,19.0308,13.6775,22.2052,435.9877,418.2099
4244,Brevik,0.45,51,2.3204,18.6516,19.4557,30.0163,435.2222,369.3457
1286,El Guamache,0.525,55,2.3661,15.6214,14.7926,27.1083,436.3086,389.1852
1734,Pantoloan,0.3333,15,2.7803,19.4977,15.0489,28.3937,436.0,383.1728
238,Portland(OR USA),0.45,70,2.0069,19.8416,13.3412,27.8506,435.9383,357.6049
4851,Ceuta,0.3417,76,2.2632,14.7957,16.2647,31.5125,428.9506,385.2469
4529,Moerdijk,0.3417,50,2.2174,17.1428,14.4608,27.1408,433.0988,358.8519
5345,Akita,0.6333,21,2.27,19.6964,12.1983,23.9024,431.6543,370.1481
4564,Lautoka,0.5583,63,1.9703,28.4037,23.1404,34.8377,385.284,325.7654
5196,Manila,5.3333,143,2.0526,17.7045,8.9314,18.8851,436.8765,419.2469
5450,Panjang,1.6083,38,2.2586,17.6886,10.2608,20.666,436.8025,416.0123
3983,Dalian,7.75,224,1.7712,16.7259,8.3613,19.2418,437.0,416.4938
4279,Stockholm,0.4083,47,2.2998,19.8713,16.9762,27.9519,428.5309,351.2593
4752,Ravenna,2.0333,63,2.2632,16.5792,13.6029,24.3352,433.2469,391.8519
2815,Gwangyang,14.9583,284,1.6934,17.0047,8.3565,18.3929,437.0,419.716
5676,Rauma,1.3083,73,2.119,19.1767,14.5329,24.0991,434.0864,400.1728
4067,Brisbane,3.7,115,1.8764,24.3565,15.2218,24.1841,430.6543,385.7531
2821,Bristol,0.6917,76,2.0664,15.9354,14.3601,25.1926,434.716,402.8272
1747,Khor Fakkan,5.8167,183,1.8169,14.2941,10.4048,19.888,436.2099,417.8519
2101,Barcelona,12.9,406,1.5629,15.4405,10.829,18.9335,435.4198,419.2469
5724,Mobile,1.0083,107,1.8902,14.0422,14.3064,25.8449,434.0988,394.5679
426,Damietta,1.8833,182,1.833,15.7205,11.8989,20.9044,436.7407,416.6173
3767,Dammam,1.5417,137,1.8787,15.7046,13.1246,23.5905,432.6667,380.3457
1392,Santa Marta,0.4167,41,2.2059,15.5596,13.8032,25.4034,434.9753,406.0741
1165,Singapore,79.0167,518,1.389,16.3843,8.0339,15.6813,437.0,428.2469
4611,Sines,1.7667,174,1.8124,14.1995,11.6714,20.7794,436.4444,415.5185
2200,Tema,2.5917,197,1.7574,23.2311,13.679,22.7241,436.037,414.2716
6512,Yantian,20.4167,370,1.5858,15.8508,8.3513,16.3733,437.0,424.1358
3974,Yantai,3.4833,97,1.913,16.5579,8.8252,20.2984,436.9506,407.0988
306,Huangpu,0.4,45,2.2449,17.1761,10.8685,24.6021,436.9012,394.9506
5629,Maputo,0.9333,83,2.016,20.9811,18.9353,29.1297,424.8025,377.9753
2831,Fort de France,1.0417,102,1.9611,15.2113,14.003,24.5983,436.716,421.2469
5363,Klaipeda,3.25,136,2.0229,21.1931,14.0662,23.3015,433.8395,401.1728
3315,Yangon,0.8917,35,2.2288,19.7929,12.6732,23.9905,436.0741,407.9012
639,Barranquilla,2.0167,77,2.1327,15.4727,11.2697,21.2703,436.8889,416.6049
686,Limassol,4.7583,230,1.7643,16.1206,12.7629,22.4009,433.9753,404.9383
1988,Oslo,1.6917,74,2.1876,17.4135,14.089,23.6787,434.5802,403.4568
6323,Ishikariwan Shinko,0.325,21,2.2815,19.3645,13.6391,28.9496,432.0247,380.5309
5908,Teluk Bayur,0.4083,8,2.7666,17.5312,13.9159,28.1121,436.5062,377.9136
1593,Dar es Salaam,1.0917,82,2.1281,20.4679,18.0166,27.3973,430.5309,384.284
2088,Oita,0.9333,37,2.2883,16.8625,10.9265,22.9579,436.8272,400.2099
1708,Moss,0.6583,56,2.2128,17.1092,15.7736,25.2683,429.5309,362.5926
2207,Fortaleza,0.5,53,2.222,20.3722,18.9358,29.4787,431.7037,382.5679
4844,Marin,0.575,61,2.1419,15.9358,13.983,25.2478,436.2716,406.1852
3595,Alexandria(EGY),3.6583,204,1.8352,16.2335,13.0529,22.1198,433.9506,407.2716
8092,Santa Cruz de Tenerife,2.9583,106,2.0984,14.5995,12.1647,22.0824,435.7407,412.1358
2417,Hachinohe,0.6083,38,2.2586,19.4297,12.6233,24.4221,432.2222,387.7531
4624,Puerto Limon,3.6,119,1.8879,15.4747,11.1864,21.1234,436.963,415.7284
889,Fos,4.8333,280,1.7162,14.7636,11.3001,20.0828,435.2099,415.8272
941,Algeciras,8.4583,313,1.659,14.3283,10.8205,18.7388,435.7284,420.4568
3521,La Spezia,4.9583,293,1.6728,15.17,11.3967,20.1795,434.7037,412.9753
732,Algiers,2.45,116,2.0023,14.7568,11.9983,21.6325,433.2716,404.7901
1503,Charleston,7.0583,259,1.73,18.4409,10.8085,19.4361,436.7901,421.1481
5774,Pontianak,0.7,30,2.254,19.2228,12.2553,24.2975,436.5802,389.2963
4542,Jubail,0.4333,24,2.2449,16.0106,14.678,28.261,434.0741,370.7407
819,Alicante,2.2417,91,2.254,14.5478,12.2397,21.3256,434.2716,405.9012
5152,Davao,2.1167,76,2.167,17.2532,10.9911,21.0716,436.5062,407.7778
2940,Manaus,1.05,78,2.3661,21.8334,19.5311,29.7677,423.5802,382.4568
1831,Tees,2.9333,92,2.1236,16.4015,12.0027,21.2554,435.3827,415.1235
4403,Sihanoukville,1.9917,39,2.2449,17.3695,10.6941,21.1127,436.8148,410.8025
5290,Mina Saqr,1.325,67,2.0137,14.8143,12.0321,23.7237,434.4321,399.3704
837,Nakanoseki,1.0,45,2.2586,16.541,10.6553,23.1384,436.7531,408.5556
5608,Monrovia,0.4667,41,2.3501,17.0006,17.818,28.8161,427.5802,366.7654
5493,Osaka,18.8583,219,1.7368,17.3193,8.4193,19.0831,437.0,414.5432
2151,Kobe,22.425,295,1.6499,17.2295,8.4509,18.8059,437.0,416.7407
3725,Xiamen,10.4917,334,1.6316,17.0632,8.3343,17.2515,437.0,423.1235
5891,Haifa,5.025,168,1.8421,14.3923,12.1393,21.1782,434.1235,412.0494
1276,St. Vincent(WI),0.5333,46,2.4302,16.1996,17.0371,27.9938,429.5185,397.4444
3560,Haikou,0.3583,22,2.2815,17.0893,10.7638,24.0295,436.8642,405.7407
2204,Lazaro Cardenas,1.2167,160,1.8375,16.369,11.7623,21.5623,436.6173,417.5679
7606,Tauranga,2.7917,139,1.8215,23.1735,17.1302,26.3352,422.3951,387.2469
4761,Kochi(IND),1.9083,76,2.0618,17.8533,11.8028,22.4011,435.9877,407.8519
3077,Buenaventura,3.7917,195,1.8032,16.2548,12.506,22.813,436.321,410.8025
2729,Buenos Aires,5.5083,261,1.7048,21.6559,13.5633,24.8454,434.0123,413.4938
283,Puerto del Rosario,0.5,24,2.4256,19.7256,16.7496,28.0284,428.0,357.5679
3867,Haiphong,10.125,128,2.1304,16.1264,8.7772,18.7485,436.9506,419.9877
9581,Navegantes,3.5417,208,1.7689,18.8538,12.8421,23.0185,436.5679,424.321
4410,Hakata,8.3417,147,1.8993,16.5168,8.4268,19.1514,437.0,415.5926
1698,Umm Qasr,1.1417,41,2.2723,19.9951,15.7638,26.5594,430.5556,388.9136
1219,Altamira,3.4,211,1.7918,16.7229,12.9417,22.8912,434.7654,409.642
2999,Chennai,2.4333,133,1.881,17.4687,11.9571,21.8412,436.5926,409.3704
4070,Odessa,1.3417,151,1.8833,17.3844,15.7988,25.226,432.1481,398.1852
5643,Fraser River Port,0.75,88,1.9977,18.7075,13.2923,25.6604,431.321,379.358
5865,Goole,0.7,5,2.3844,15.5222,18.6181,24.6845,302.7407,284.6543
4488,Kodiak,0.5417,4,2.9314,22.4032,15.7152,30.2154,425.037,349.8395
828,Tartous,0.8333,100,2.1785,17.6442,15.6085,27.1134,431.1975,380.9506
4588,Degrad des Cannes,0.375,26,2.3021,20.3436,21.7482,32.4633,419.284,349.3333
1080,Tarragona,2.7833,175,1.8261,14.6182,11.3498,20.4739,435.284,413.4074
9826,Shuwaikh,2.3583,49,2.2197,14.8652,11.5947,22.9095,436.7778,412.2716
5393,St. Petersburg,6.3917,111,2.0915,19.5562,13.5928,22.5849,434.716,409.3333
3125,Fredericia,0.5167,55,2.2906,18.8528,15.4104,26.0178,434.321,401.9012
5757,Penang,5.225,143,2.0481,18.1134,8.5321,18.3235,436.9506,422.7654
5146,Ulsan,8.0833,117,2.135,17.1748,8.552,19.1793,437.0,415.9383
1600,Melbourne,5.7583,222,1.7368,23.9954,16.5425,25.7205,428.7531,388.9383
4984,Shuaiba,0.7833,46,2.2311,16.3581,13.6728,25.1088,436.5432,399.7901
394,Ensenada(MEX),1.1583,111,1.9908,16.8908,13.7505,25.9954,435.7284,378.2469
903,Port Sultan Qaboos,1.375,66,2.0664,16.3225,12.204,23.2395,434.9136,400.4568
3012,Ambarli,7.0083,263,1.7208,16.7591,12.6282,21.4547,435.0988,415.0494
3724,Taranto,2.1167,113,1.8947,15.1546,13.0748,21.7755,434.1852,411.8519
5708,Chiba,0.8917,57,2.2174,18.5711,9.8338,22.8823,436.7778,397.9877
5133,Haldia,1.8417,56,2.2243,19.7309,12.0213,22.6368,433.6296,401.7654
5268,Rouen,0.9333,75,2.1487,14.5837,12.1836,22.2812,434.7037,406.9136
3241,Puerto Cortes,3.175,122,2.0526,15.4184,12.2462,22.0292,435.8642,410.9012
5022,Port Sudan,2.2667,108,2.0481,17.645,13.7869,22.937,435.9259,407.4815
856,Freeport(BHS),4.8167,236,1.7391,14.3679,11.6869,20.4373,436.4938,420.9259
830,Rotterdam,34.8917,520,1.3959,14.7776,10.6499,18.3554,436.2716,424.8148
1828,Le Havre,12.425,404,1.5423,14.8644,10.8577,18.2956,435.9877,420.4198
1323,St. Martin,0.65,80,2.167,15.6556,15.216,27.0902,435.7284,416.4444
3324,Freetown,0.4167,33,2.4416,19.1009,21.0508,33.6098,423.0864,338.8395
966,Halifax,2.0167,117,1.8833,15.9927,12.3401,21.713,435.358,409.0741
219,Fremantle,2.7583,160,1.8169,20.9115,13.1706,22.1448,434.9259,406.321
1483,Mizushima,3.35,67,2.2151,16.8558,9.2958,20.844,436.9383,409.6173
6133,Naha,0.675,29,2.27,16.5554,12.1608,25.519,436.4444,389.2963
5767,San Vicente,1.5833,151,1.8238,24.7118,14.1027,24.8786,433.9012,394.9136
2491,Pointe Noire(COG),0.5833,98,1.9268,21.1862,20.8858,30.2048,435.7531,394.1358
3871,Wilmington(NC USA),0.975,59,1.9794,18.7643,14.243,25.0048,434.4568,404.1235
4453,Itajai,1.3583,141,1.8375,20.234,14.0764,24.7046,434.2469,406.8148
205,Gothenburg,0.8167,107,1.881,19.1922,20.6506,39.0818,433.9753,302.1481
8048,Tanjung Pelepas,10.9083,319,1.643,14.901,7.9873,15.514,437.0247,429.7531
2145,Tyne,0.825,15,2.3318,16.9561,13.3697,24.267,435.0123,405.6667
151,Chittagong,4.7583,73,2.1831,19.5059,9.5251,19.0207,436.7037,416.679
843,Amsterdam,0.7583,122,1.8467,15.659,14.5131,25.9045,434.642,392.716
4337,Chiwan,4.7333,317,1.6522,15.8184,8.371,17.7134,437.0,420.9753
3832,Nagoya,22.7417,309,1.6339,16.3012,8.5111,19.4149,437.0,414.1358
2302,Longkou,0.7333,48,2.2586,17.132,10.4419,26.2284,436.1358,396.1481
5233,Puerto Cabello,4.5833,227,1.7277,16.7611,10.6389,20.1475,436.9383,423.2716
2121,Shimonoseki,0.7167,14,2.3661,16.9618,10.0754,22.5962,436.8519,400.6296
5295,Busan,56.7083,500,1.4073,16.7086,8.3436,18.1771,437.0,419.0247
5123,Beira,0.4667,29,2.1693,21.7316,21.8143,33.3676,409.5062,346.716
2688,Beirut,4.9833,267,1.7208,17.932,12.5343,21.5722,434.6667,409.2222
5224,Bejaia,0.875,90,2.1373,17.2731,14.8701,25.6362,431.9506,393.1358
7596,Norfolk(USA),4.0167,175,1.833,18.3472,10.6167,18.9113,436.4198,415.7407
593,Shimizu,6.6583,173,1.8261,17.2968,8.6897,20.0358,436.9506,410.642
